feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
196,manhole,6050458.404576508,2137112.5591724445,106.81746084325849,4,4,0.224,36.75,0.93,0.611,3
197,manhole,6050459.361467247,2137374.404197696,107.51426388578248,8,58,0.187,87.08,0.94,0.658,7
198,manhole,6050477.071161422,2137300.4306351678,107.649253948835,6,9,0.095,28.11,0.97,0.654,6
199,manhole,6050441.96301692,2137389.7712275423,106.94022366192242,7,11,0.106,44.15,0.97,0.569,7
200,manhole,6050613.997996126,2137721.8633995275,99.8338545891764,7,15,0.1,35.41,0.97,0.688,7
201,manhole,6050594.906856662,2137810.36144122,98.71589394536021,6,63,0.301,71.47,0.91,0.789,3
202,manhole,6050615.543304763,2137761.885737827,98.28993695261438,5,6,0.086,22.9,0.97,0.758,5
203,manhole,6050512.404108672,2137360.8308112016,101.01034884090654,4,4,0.295,57.17,0.91,0.565,3
204,manhole,6050339.148364789,2135198.4272813657,89.01527289725016,4,3,0.117,59.5,0.96,0.698,4
205,manhole,6050447.51573803,2135014.0677049025,90.34015705433112,4,3,0.088,29.57,0.97,0.709,4
206,manhole,6050351.813224275,2135367.6775144893,88.52795739855655,8,29,0.086,63.06,0.97,0.747,8
207,manhole,6049859.187790082,2135291.0383325894,78.91160415446448,8,58,0.188,71.19,0.94,0.703,6
208,manhole,6049816.442325754,2135300.5195652433,79.15862642704329,8,168,0.169,48.44,0.95,0.755,8
209,manhole,6049875.014915905,2135298.197737678,79.48889238589891,6,10,0.156,24.66,0.95,0.677,6
210,manhole,6049821.337165325,2135249.851823997,78.48723036056265,4,5,0.137,75.03,0.96,0.683,4
211,manhole,6049734.952093593,2134952.9223855147,76.30020334395597,4,6,0.195,78.67,0.94,0.732,4
212,manhole,6050334.473734004,2135705.6900330987,88.96166606496872,4,4,0.126,56.12,0.96,0.63,4
213,manhole,6050342.311902245,2135741.9741529906,89.3917717630404,8,64,0.11,63.86,0.96,0.782,8
214,manhole,6050344.278394072,2135729.412182104,89.31620631083814,5,10,0.124,49.1,0.96,0.773,5
215,manhole,6050360.722869469,2135723.3679337353,89.52118527236748,8,28,0.135,54.29,0.96,0.734,8
216,manhole,6050375.91980933,2135684.641369235,89.65313327077867,4,3,0.249,21.51,0.92,0.677,3
217,manhole,6050344.218047469,2135729.4181762557,89.35832345834439,7,17,0.111,57.83,0.96,0.765,7
218,manhole,6050313.125390758,2135774.3175992765,89.56292698794682,8,29,0.115,62.92,0.96,0.781,8
219,manhole,6050340.079493712,2135826.282190714,90.67467893747272,4,3,0.195,36.12,0.94,0.829,4
220,manhole,6050310.189092969,2136025.103794069,93.48383734235316,8,37,0.12,28.56,0.96,0.636,8
221,manhole,6050333.405019715,2136031.731600496,93.0993231453091,7,13,0.249,34.17,0.92,0.776,5
222,manhole,6050342.704276501,2136164.293645283,94.56326741020217,6,10,0.201,36.37,0.94,0.699,4
223,manhole,6050235.562703043,2136644.746290282,98.69422364033626,8,22,0.126,70.58,0.96,0.717,8
224,manhole,6050012.166896666,2136669.050763306,93.73724823135834,4,3,0.111,54.17,0.96,0.586,4
225,manhole,6050299.045798624,2136653.2133076307,99.90255941248553,8,26,0.2,67.78,0.94,0.684,8
226,manhole,6050839.975560615,2138337.5805758983,118.70624084729894,4,4,0.115,59.36,0.96,0.653,4
227,manhole,6050243.002232058,2136608.617421045,98.20961960312628,7,15,0.145,53.66,0.95,0.74,7
228,manhole,6050069.207607526,2136040.782151152,91.16361112803126,8,28,0.294,70.36,0.91,0.71,6
229,manhole,6050047.784514754,2135976.7603795016,90.31194871409677,8,33,0.231,72.18,0.93,0.606,7
230,manhole,6050048.258292976,2135997.6471021427,90.48147472472711,8,57,0.126,70.02,0.96,0.64,8
231,manhole,6050041.622902846,2135994.9135307544,90.07657309519423,4,4,0.121,36.31,0.96,0.706,4
232,manhole,6050044.097117476,2136016.8403231828,90.52003221732843,4,4,0.075,24.41,0.97,0.567,4
233,manhole,6050032.083025596,2135975.6812864384,90.15447926894251,5,8,0.151,89.26,0.95,0.569,5
